candidate_model_id,prompt_id,judge_model_id,company
anthropic/claude-opus-4.6,explain_food_recall,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,explain_heat_pumps,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,explain_municipal_bonds,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,explain_property_tax,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,howto_neighborhood_meeting,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,howto_report_water_leak,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,howto_school_board_comment,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,memo_budget_freeze,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,memo_incident_response,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,memo_remote_work_policy,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,memo_schedule_change,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,oped_bus_lanes,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,oped_corner_store,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,oped_library_hours,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,personal_first_day_union_job,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,personal_night_shift_bus,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,personal_public_pool,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,profile_ferry_captain,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,profile_public_defender,anthropic/claude-opus-4.6,anthropic
anthropic/claude-opus-4.6,profile_school_custodian,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,explain_food_recall,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,explain_heat_pumps,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,explain_municipal_bonds,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,explain_property_tax,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,howto_neighborhood_meeting,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,howto_report_water_leak,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,howto_school_board_comment,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,memo_budget_freeze,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,memo_incident_response,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,memo_remote_work_policy,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,memo_schedule_change,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,oped_bus_lanes,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,oped_corner_store,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,oped_library_hours,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,personal_first_day_union_job,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,personal_night_shift_bus,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,personal_public_pool,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,profile_ferry_captain,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,profile_public_defender,anthropic/claude-opus-4.6,anthropic
anthropic/claude-sonnet-4.6,profile_school_custodian,anthropic/claude-opus-4.6,anthropic
google/gemini-3.1-flash-lite-preview,explain_food_recall,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,explain_heat_pumps,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,explain_municipal_bonds,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,explain_property_tax,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,howto_neighborhood_meeting,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,howto_report_water_leak,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,howto_school_board_comment,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,memo_budget_freeze,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,memo_incident_response,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,memo_remote_work_policy,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,memo_schedule_change,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,oped_bus_lanes,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,oped_corner_store,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,oped_library_hours,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,personal_first_day_union_job,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,personal_night_shift_bus,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,personal_public_pool,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,profile_ferry_captain,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,profile_public_defender,google/gemini-3.1-pro-preview,google
google/gemini-3.1-flash-lite-preview,profile_school_custodian,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,explain_food_recall,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,explain_heat_pumps,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,explain_municipal_bonds,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,explain_property_tax,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,howto_neighborhood_meeting,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,howto_report_water_leak,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,howto_school_board_comment,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,memo_budget_freeze,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,memo_incident_response,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,memo_remote_work_policy,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,memo_schedule_change,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,oped_bus_lanes,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,oped_corner_store,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,oped_library_hours,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,personal_first_day_union_job,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,personal_night_shift_bus,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,personal_public_pool,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,profile_ferry_captain,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,profile_public_defender,google/gemini-3.1-pro-preview,google
google/gemini-3.1-pro-preview,profile_school_custodian,google/gemini-3.1-pro-preview,google
openai/gpt-5.3-chat,explain_food_recall,openai/gpt-5.4,openai
