candidate_model_id,prompt_id,prompt_category,word_count,minimum_words,status,reason
anthropic/claude-opus-4.6,explain_food_recall,explain,325,120,ok,
anthropic/claude-opus-4.6,explain_heat_pumps,explain,346,120,ok,
anthropic/claude-opus-4.6,explain_municipal_bonds,explain,379,120,ok,
anthropic/claude-opus-4.6,explain_property_tax,explain,323,120,ok,
anthropic/claude-opus-4.6,howto_neighborhood_meeting,service_howto,337,140,ok,
anthropic/claude-opus-4.6,howto_report_water_leak,service_howto,325,120,ok,
anthropic/claude-opus-4.6,howto_school_board_comment,service_howto,368,140,ok,
anthropic/claude-opus-4.6,memo_budget_freeze,memo,302,100,ok,
anthropic/claude-opus-4.6,memo_incident_response,memo,310,100,ok,
anthropic/claude-opus-4.6,memo_remote_work_policy,memo,318,100,ok,
anthropic/claude-opus-4.6,memo_schedule_change,memo,283,100,ok,
anthropic/claude-opus-4.6,oped_bus_lanes,persuasion_oped,321,200,ok,
anthropic/claude-opus-4.6,oped_corner_store,persuasion_oped,339,200,ok,
anthropic/claude-opus-4.6,oped_library_hours,persuasion_oped,332,200,ok,
anthropic/claude-opus-4.6,personal_first_day_union_job,personal_nonfiction,333,200,ok,
anthropic/claude-opus-4.6,personal_night_shift_bus,personal_nonfiction,326,200,ok,
anthropic/claude-opus-4.6,personal_public_pool,personal_nonfiction,315,200,ok,
anthropic/claude-opus-4.6,profile_ferry_captain,profile,319,200,ok,
anthropic/claude-opus-4.6,profile_public_defender,profile,296,200,ok,
anthropic/claude-opus-4.6,profile_school_custodian,profile,321,200,ok,
anthropic/claude-sonnet-4.6,explain_food_recall,explain,329,120,ok,
anthropic/claude-sonnet-4.6,explain_heat_pumps,explain,328,120,ok,
anthropic/claude-sonnet-4.6,explain_municipal_bonds,explain,344,120,ok,
anthropic/claude-sonnet-4.6,explain_property_tax,explain,345,120,ok,
anthropic/claude-sonnet-4.6,howto_neighborhood_meeting,service_howto,336,140,ok,
anthropic/claude-sonnet-4.6,howto_report_water_leak,service_howto,324,120,ok,
anthropic/claude-sonnet-4.6,howto_school_board_comment,service_howto,346,140,ok,
anthropic/claude-sonnet-4.6,memo_budget_freeze,memo,305,100,ok,
anthropic/claude-sonnet-4.6,memo_incident_response,memo,307,100,ok,
anthropic/claude-sonnet-4.6,memo_remote_work_policy,memo,299,100,ok,
anthropic/claude-sonnet-4.6,memo_schedule_change,memo,278,100,ok,
anthropic/claude-sonnet-4.6,oped_bus_lanes,persuasion_oped,342,200,ok,
anthropic/claude-sonnet-4.6,oped_corner_store,persuasion_oped,356,200,ok,
anthropic/claude-sonnet-4.6,oped_library_hours,persuasion_oped,342,200,ok,
anthropic/claude-sonnet-4.6,personal_first_day_union_job,personal_nonfiction,326,200,ok,
anthropic/claude-sonnet-4.6,personal_night_shift_bus,personal_nonfiction,344,200,ok,
anthropic/claude-sonnet-4.6,personal_public_pool,personal_nonfiction,313,200,ok,
anthropic/claude-sonnet-4.6,profile_ferry_captain,profile,320,200,ok,
anthropic/claude-sonnet-4.6,profile_public_defender,profile,275,200,ok,
anthropic/claude-sonnet-4.6,profile_school_custodian,profile,290,200,ok,
deepseek/deepseek-v3.2,explain_food_recall,explain,251,120,ok,
deepseek/deepseek-v3.2,explain_heat_pumps,explain,387,120,ok,
deepseek/deepseek-v3.2,explain_municipal_bonds,explain,371,120,ok,
deepseek/deepseek-v3.2,explain_property_tax,explain,208,120,ok,
deepseek/deepseek-v3.2,howto_neighborhood_meeting,service_howto,799,140,ok,
deepseek/deepseek-v3.2,howto_report_water_leak,service_howto,362,120,ok,
deepseek/deepseek-v3.2,howto_school_board_comment,service_howto,231,140,ok,
deepseek/deepseek-v3.2,memo_budget_freeze,memo,248,100,ok,
deepseek/deepseek-v3.2,memo_incident_response,memo,362,100,ok,
deepseek/deepseek-v3.2,memo_remote_work_policy,memo,218,100,ok,
deepseek/deepseek-v3.2,memo_schedule_change,memo,190,100,ok,
deepseek/deepseek-v3.2,oped_bus_lanes,persuasion_oped,383,200,ok,
deepseek/deepseek-v3.2,oped_corner_store,persuasion_oped,396,200,ok,
deepseek/deepseek-v3.2,oped_library_hours,persuasion_oped,395,200,ok,
deepseek/deepseek-v3.2,personal_first_day_union_job,personal_nonfiction,255,200,ok,
